report_id,topic,consumer,total_mails,average_execution_time_(s),max_execution_time_(s),grand_total_mails,total_errors
0,low-priority-mails,0,250,0.41,0.93,275,0
0,high-priority-mails,3,8,0.42,0.93,275,0
0,high-priority-mails,2,3,0.28,0.28,275,0
0,high-priority-mails,1,6,0.34,0.36,275,0
0,high-priority-mails,0,8,0.34,0.37,275,0
1,low-priority-mails,0,645,2191.57,9740.22,670,0
1,high-priority-mails,3,8,0.42,0.93,670,0
1,high-priority-mails,2,3,0.28,0.28,670,0
1,high-priority-mails,1,6,0.34,0.36,670,0
1,high-priority-mails,0,8,0.34,0.37,670,0
2,low-priority-mails,0,1045,1367.82,9740.22,1070,0
2,high-priority-mails,3,8,0.42,0.93,1070,0
2,high-priority-mails,2,3,0.28,0.28,1070,0
2,high-priority-mails,1,6,0.34,0.36,1070,0
2,high-priority-mails,0,8,0.34,0.37,1070,0
